"edad","sexo","periodo","total"
"Total","Ambos sexos","2025T2","10,29"
"Total","Ambos sexos","2025T1","11,36"
"Total","Ambos sexos","2024T4","10,61"
"Total","Ambos sexos","2024T3","11,21"
"Total","Ambos sexos","2024T2","11,27"
"Total","Ambos sexos","2024T1","12,29"
"Total","Ambos sexos","2023T4","11,80"
"Total","Ambos sexos","2023T3","11,89"
"Total","Ambos sexos","2023T2","11,67"
"Total","Ambos sexos","2023T1","13,38"
"Total","Ambos sexos","2022T4","12,99"
"Total","Ambos sexos","2022T3","12,73"
"Total","Ambos sexos","2022T2","12,69"
"Total","Ambos sexos","2022T1","13,73"
"Total","Ambos sexos","2021T4","13,44"
