"sexo","edad","tasa_de_riesgo_de_pobreza_o_exclusion_social_y_sus_componentes","periodo","total"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2024","26,1"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2023","26,9"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2022","26,3"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2021","27,6"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2020","26,4"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2019","25,3"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2018","26,1"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2017","26,6"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2016","27,9"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2015","28,6"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2014","29,2"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2013","27,3"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2012","27,2"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2011","26,7"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2010","26,1"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2009","24,7"
"Ambos sexos","Total","Tasa de riesgo de pobreza o exclusión social (indicador AROPE)","2008","23,8"
"Ambos sexos","Total","En riesgo de pobreza (renta año anterior a la entrevista)","2024","19,7"
"Ambos sexos","Total","En riesgo de pobreza (renta año anterior a la entrevista)","2023","20,2"
"Ambos sexos","Total","En riesgo de pobreza (renta año anterior a la entrevista)","2022","20,4"
